"Table S5. LC-TOF-MS mass signatures that were significantly altered for at least one aphid feeding time point, P value < 0.05 FDR, fold change < 0.5 or > 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Con-early = controls harvested at the beginning of the experiment, Con-late = controls harvested at the end of the experiment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ion mode,m/z,Retention time,Con-early-1,Con-early-2,Con-early-3,Con-early-4,Con-early-5,Con-late-1,Con-late-2,Con-late-3,Con-late-4,Con-late-5,2h-1,2h-2,2h-3,2h-4,2h-5,4h-1,4h-2,4h-3,4h-4,4h-5,8h-1,8h-2,8h-3,8h-4,8h-5,24h-1,24h-2,24h-3,24h-4,24h-5,48h-1,48h-2,48h-3,48h-4,48h-5,96h-1,96h-2,96h-3,96h-4,96h-5
Negative,575.1427808,694.263274,0.469,0.704,2.231,0.634,0.962,2.288,1.921,0.239,0.366,0.186,3.360,2.580,1.130,1.000,1.180,1.001,1.451,1.067,1.072,1.354,1.950,3.170,2.533,2.007,2.268,1.054,1.064,1.791,1.765,1.005,2.098,1.498,0.691,0.384,4.023,3.123,1.321,1.176,2.341,1.626
Negative,570.335902,1448.790367,0.421,0.601,0.981,1.079,1.918,0.825,1.478,1.470,1.227,0.000,0.620,1.540,1.640,1.460,2.840,1.118,1.835,1.864,1.617,2.465,1.316,2.024,3.005,3.445,2.560,1.595,1.177,0.781,3.118,4.813,0.554,0.855,2.232,1.122,3.598,2.594,1.133,1.509,1.191,2.092
Negative,569.3321424,1448.93578,0.566,0.933,1.110,1.048,1.343,0.827,1.729,1.049,1.235,0.161,1.060,2.570,1.570,2.600,2.790,1.379,2.318,2.091,1.405,2.915,1.860,2.264,3.345,3.369,3.349,1.533,1.239,1.303,2.618,2.532,1.073,1.452,2.414,1.515,5.212,3.165,1.083,1.679,2.192,2.049
Negative,569.2338401,1473.876725,0.913,1.649,1.391,0.661,0.386,1.714,2.109,0.896,0.281,0.000,1.790,0.920,1.240,0.850,0.730,1.586,2.626,1.362,0.927,1.051,2.362,3.436,2.836,0.155,1.728,0.868,1.105,0.721,0.859,0.283,1.342,2.239,2.262,0.858,1.932,2.573,2.376,2.086,2.420,1.537
Negative,235.170201,1197.945642,0.408,0.881,1.503,1.130,1.078,1.045,1.167,1.154,1.508,0.125,1.190,1.130,1.300,1.700,2.090,1.519,1.600,2.413,1.926,2.700,1.620,1.346,2.017,2.138,1.740,1.450,1.072,1.636,1.612,1.505,1.026,1.809,1.780,1.551,3.028,1.671,0.656,1.770,1.904,1.365
Negative,566.3453995,1342.39359,0.408,2.125,0.846,1.194,0.427,0.805,2.323,0.650,1.218,0.004,0.850,1.360,2.580,1.890,2.660,1.307,2.165,2.205,4.015,3.377,2.623,2.158,2.318,3.189,4.779,1.327,2.314,4.926,3.149,2.009,0.834,5.148,3.070,6.578,4.090,1.357,1.403,1.261,2.482,2.474
Negative,564.3198132,1123.702333,0.540,1.283,1.098,1.213,0.866,1.063,1.054,1.187,1.524,0.172,1.620,1.080,1.930,1.780,2.230,1.845,1.711,1.940,2.256,3.375,1.414,1.838,1.725,1.756,1.862,1.441,1.540,1.618,2.103,2.229,0.707,1.993,1.721,2.263,3.066,1.347,1.089,1.523,3.047,1.901
Negative,558.9948357,87.88141806,0.944,1.476,0.388,1.156,1.036,0.998,2.223,1.779,0.000,0.000,1.090,2.210,0.840,0.820,0.990,1.784,2.331,1.701,0.928,1.237,2.075,2.794,1.107,2.802,2.407,1.179,1.951,1.200,1.474,2.039,0.154,1.573,0.958,0.546,3.216,2.217,1.384,1.596,0.842,0.664
Negative,557.3325642,1415.828087,4.824,0.018,0.019,0.026,0.114,1.207,2.069,1.125,0.494,0.105,0.070,0.160,6.200,0.100,0.180,0.040,0.076,0.071,0.283,0.169,0.150,17.653,2.664,182.922,2.557,0.033,0.043,0.039,0.053,0.086,0.059,0.148,0.140,0.141,0.494,0.140,0.052,0.075,0.133,0.052
Negative,547.1122139,162.980013,0.220,0.518,0.512,1.739,2.011,0.976,1.492,1.470,0.813,0.249,0.860,1.010,0.840,2.060,5.690,0.806,0.373,0.972,1.250,2.720,2.412,2.896,1.675,8.102,5.686,0.470,0.812,0.475,3.239,3.001,1.137,1.311,2.999,1.374,5.893,2.510,1.071,0.504,5.044,2.935
Negative,546.1090341,163.1279596,0.155,0.300,0.494,1.816,2.235,0.649,1.451,1.722,1.134,0.044,1.040,0.970,1.440,2.260,3.700,0.902,0.760,0.956,1.169,2.575,1.577,1.442,1.448,3.331,3.458,0.721,1.007,1.144,3.457,3.059,1.011,1.088,2.015,1.199,4.432,2.000,0.828,1.336,4.090,3.590
Negative,539.3327333,1448.621454,0.711,1.130,0.810,1.104,1.244,1.263,1.208,1.128,1.270,0.131,1.470,2.010,2.040,2.470,2.060,1.738,1.539,1.877,1.597,2.537,1.653,1.634,1.199,2.058,3.594,1.328,1.906,1.231,2.056,2.518,1.252,1.498,2.139,1.925,3.659,2.111,1.010,1.442,2.396,2.548
Negative,538.3467234,1561.829514,0.694,0.817,1.171,0.688,1.630,0.757,0.963,1.812,1.449,0.019,0.810,1.700,1.280,1.770,2.540,1.986,1.734,2.888,2.304,4.891,2.019,1.510,1.987,2.020,1.376,2.274,1.574,2.069,2.106,3.253,1.161,2.216,2.582,2.197,4.069,2.384,0.740,1.058,2.773,2.058
Negative,537.3422949,1561.804953,0.438,1.264,1.024,0.799,1.474,0.710,1.285,1.630,1.342,0.033,0.820,1.430,1.310,1.920,2.480,1.987,1.797,2.042,1.431,3.969,1.640,1.354,1.111,1.846,1.809,1.142,0.849,0.703,1.966,1.977,0.928,1.200,2.563,1.429,2.557,1.456,0.219,1.868,1.541,1.992
Negative,536.315142,1389.249802,0.661,0.841,1.154,1.199,1.144,1.005,1.332,1.389,1.177,0.097,1.330,1.660,1.760,1.960,2.070,1.582,1.863,1.334,1.242,2.697,1.791,1.845,2.219,2.810,3.010,1.022,1.761,1.348,1.643,2.958,1.213,1.541,1.606,1.440,3.574,2.111,0.932,1.803,2.402,2.900
