UNIPROT	SYMBOL
C9J5D8	MRPS22
C9J5E5	HDLBP
C9J5H8	NCDN
C9J5L1	U2SURP
C9J5N1	PTGES3L-AARSD1
C9J5V9	YBX1
C9J5X1	IGF1R
C9J634	PDHB
C9J683	SAP130
C9J6B0	MADD
C9J6B6	EIF4G1
C9J6C5	NIFK
C9J6J8	SQSTM1
C9J6L4	CPVL
C9J6P4	ZC3HAV1
C9J6P7	NVL
C9J6Q0	UGP2
C9J6X0	NDUFA10
C9J719	EBP
C9J7C7	GYG1
C9J7E5	TNPO3
C9J7E8	MKLN1
C9J7L0	RBBP7
C9J7L8	ACOT9
C9J7M8	TAF8
C9J7Q4	ABHD11
C9J7Q7	KDM3A
C9J7S3	DARS1
C9J7T9	TNNC2
C9J7Y4	CKAP2
C9J7Y7	MSH6
C9J7Z1	PTRH1
C9J818	CFAP298
C9J830	PRKAR2A
C9J840	MAP4K4
C9J8H1	ATP6V1E1
C9J8L1	ACAP2
C9J8M3	RFC4
C9J8M6	MCM7
C9J8P9	CLTA
C9J8Q5	ALDH5A1
C9J8T0	EEFSEC
C9J8T6	COX17
C9J8U2	NAPRT
C9J8U9	BOD1
C9J8V5	GTPBP8
C9J8Z2	AGAP1
C9J931	RHEB
C9J941	GOLM1
C9J9B4	ADAM10
C9J9M4	PSMD1
C9J9P1	PRKCD
C9J9S3	PPP1CB
C9J9W7	CEBPZ
C9J9X1	COBL
C9JA28	SSR3
C9JA36	ATP1B3
C9JA85	DAGLB
C9JA91	TACC3
C9JAA9	RBM28
C9JAB0	APPL1
C9JAB2	SRSF7
C9JAG2	ETS2
C9JAK5	ARF4
C9JAT7	UBXN7
C9JAW3	PCCB
C9JB29	CASP8
C9JB30	MAPRE3
C9JB63	ECI2
C9JB90	RAB6B
C9JBL0	SP100
C9JBX0	TUT1
C9JC24	WDR48
C9JC63	OXA1L
C9JC88	USP1
C9JCC6	DRAP1
C9JCE0	AFF4
C9JCJ9	OLA1
C9JCK5	PSMA2
C9JD53	IDI1
C9JD91	PTPN23
C9JDE6	DNAJA4
C9JDH0	PRPSAP2
C9JDL2	TUBA4A
C9JDR0	NSDHL
C9JDZ2	FAIM
C9JE56	WDR76
C9JED2	SH3BP4
C9JEH3	AAMP
C9JEK5	STAMBP
C9JES9	LBR
C9JEV6	NAGK
C9JEX3	MTMR2
C9JF35	NAMPT
C9JFE4	GPS1
C9JFJ0	ROCK2
C9JFK9	BAG3
C9JFM5	STX4
C9JFP6	WDR6
C9JFQ5	RBM5
C9JFR7	CYCS
C9JFV4	PELP1
C9JFZ1	SYNJ1
C9JG32	TSFM
C9JG86	SETD2
C9JG87	MRPL39
C9JGL8	PTCD1
C9JGM0	FAHD2A
C9JGM7	DYNC1LI1
C9JGM8	SPATS2L
C9JGQ0	SMTN
C9JH19	CTSD
C9JH72	RFC5
C9JHF5	MFF
C9JHH7	SLC38A5
C9JHK9	ABCF2
C9JHN8	GET4
